id,provinceId,districtThai,districtEng
1001,10,เขตพระนคร,Khet Phra Nakhon
1002,10,เขตดุสิต,Khet Dusit
1003,10,เขตหนองจอก,Khet Nong Chok
1004,10,เขตบางรัก,Khet Bang Rak
1005,10,เขตบางเขน,Khet Bang Khen
1006,10,เขตบางกะปิ,Khet Bang Kapi
1007,10,เขตปทุมวัน,Khet Pathum Wan
1008,10,เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai
1009,10,เขตพระโขนง,Khet Phra Khanong
1010,10,เขตมีนบุรี,Khet Min Buri
1011,10,เขตลาดกระบัง,Khet Lat Krabang
1012,10,เขตยานนาวา,Khet Yan Nawa
1013,10,เขตสัมพันธวงศ์,Khet Samphanthawong
1014,10,เขตพญาไท,Khet Phaya Thai
1015,10,เขตธนบุรี,Khet Thon Buri
1016,10,เขตบางกอกใหญ่,Khet Bangkok Yai
1017,10,เขตห้วยขวาง,Khet Huai Khwang
1018,10,เขตคลองสาน,Khet Khlong San
1019,10,เขตตลิ่งชัน,Khet Taling Chan
1020,10,เขตบางกอกน้อย,Khet Bangkok Noi
1021,10,เขตบางขุนเทียน,Khet Bang Khun Thian
1022,10,เขตภาษีเจริญ,Khet Phasi Charoen
1023,10,เขตหนองแขม,Khet Nong Khaem
1024,10,เขตราษฎร์บูรณะ,Khet Rat Burana
1025,10,เขตบางพลัด,Khet Bang Phlat
1026,10,เขตดินแดง,Khet Din Daeng
1027,10,เขตบึงกุ่ม,Khet Bueng Kum
1028,10,เขตสาทร,Khet Sathon
1029,10,เขตบางซื่อ,Khet Bang Sue
1030,10,เขตจตุจักร,Khet Chatuchak
1031,10,เขตบางคอแหลม,Khet Bang Kho Laem
1032,10,เขตประเวศ,Khet Prawet
1033,10,เขตคลองเตย,Khet Khlong Toei
1034,10,เขตสวนหลวง,Khet Suan Luang
1035,10,เขตจอมทอง,Khet Chom Thong
1036,10,เขตดอนเมือง,Khet Don Mueang
1037,10,เขตราชเทวี,Khet Ratchathewi
1038,10,เขตลาดพร้าว,Khet Lat Phrao
1039,10,เขตวัฒนา,Khet Vadhana
1040,10,เขตบางแค,Khet Bang Khae
1041,10,เขตหลักสี่,Khet Lak Si
1042,10,เขตสายไหม,Khet Sai Mai
1043,10,เขตคันนายาว,Khet Khan Na Yao
1044,10,เขตสะพานสูง,Khet Saphan Sung
1045,10,เขตวังทองหลาง,Khet Wang Thonglang
1046,10,เขตคลองสามวา,Khet Khlong Sam Wa
1047,10,เขตบางนา,Khet Bang Na
1048,10,เขตทวีวัฒนา,Khet Thawi Watthana
1049,10,เขตทุ่งครุ,Khet Thung Khru
1050,10,เขตบางบอน,Khet Bang Bon
1101,11,อำเภอเมืองสมุทรปราการ,Amphoe Mueang Samut Prakan
1102,11,อำเภอบางบ่อ,Amphoe Bang Bo
1103,11,อำเภอบางพลี,Amphoe Bang Phli
1104,11,อำเภอพระประแดง,Amphoe Phra Pradaeng
1105,11,อำเภอพระสมุทรเจดีย์,Amphoe Phra Samut Chedi
1106,11,อำเภอบางเสาธง,Amphoe Bang Sao Thong
1201,12,อำเภอเมืองนนทบุรี,Amphoe Mueang Nonthaburi
1202,12,อำเภอบางกรวย,Amphoe Bang Kruai
1203,12,อำเภอบางใหญ่,Amphoe Bang Yai
1204,12,อำเภอบางบัวทอง,Amphoe Bang Bua Thong
1205,12,อำเภอไทรน้อย,Amphoe Sai Noi
1206,12,อำเภอปากเกร็ด,Amphoe Pak Kret
1301,13,อำเภอเมืองปทุมธานี,Amphoe Mueang Pathum Thani
1302,13,อำเภอคลองหลวง,Amphoe Khlong Luang
1303,13,อำเภอธัญบุรี,Amphoe Thanyaburi
1304,13,อำเภอหนองเสือ,Amphoe Nong Suea
1305,13,อำเภอลาดหลุมแก้ว,Amphoe Lat Lum Kaeo
