id,provinceThai,provinceEng,region
10,กรุงเทพมหานคร,Bangkok,1
11,สมุทรปราการ,Samut Prakarn,1
12,นนทบุรี,Nonthaburi,1
13,ปทุมธานี,Pathum Thani,1
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,1
15,อ่างทอง,Ang Thong,1
16,ลพบุรี,Lop Buri,1
17,สิงห์บุรี,Sing Buri,1
18,ชัยนาท,Chai Nat,1
19,สระบุรี,Saraburi,1
20,ชลบุรี,Chon Buri,3
21,ระยอง,Rayong,3
22,จันทบุรี,Chanthaburi,3
23,ตราด,Trat,3
24,ฉะเชิงเทรา,Chachoengsao,3
25,ปราจีนบุรี,Prachin Buri,3
26,นครนายก,Nakhon Nayok,1
27,สระแก้ว,Sa kaeo,3
30,นครราชสีมา,Nakhon Ratchasima,2
31,บุรีรัมย์,Buri Ram,2
32,สุรินทร์,Surin,2
33,ศรีสะเกษ,Si Sa Ket,2
34,อุบลราชธานี,Ubon Ratchathani,2
35,ยโสธร,Yasothon,2
36,ชัยภูมิ,Chaiyaphum,2
37,อำนาจเจริญ,Amnat Charoen,2
38,บึงกาฬ,Bueng Kan,2
39,หนองบัวลำภู,Nong Bua Lam Phu,2
40,ขอนแก่น,Khon Kaen,2
41,อุดรธานี,Udon Thani,2
42,เลย,Loei,2
43,หนองคาย,Nong Khai,2
44,มหาสารคาม,Maha Sarakham,2
45,ร้อยเอ็ด,Roi Et,2
46,กาฬสินธุ์,Kalasin,2
47,สกลนคร,Sakon Nakhon,2
48,นครพนม,Nakhon Phanom,2
49,มุกดาหาร,Mukdahan,2
50,เชียงใหม่,Chiang Mai,5
51,ลำพูน,Lamphun,5
52,ลำปาง,Lampang,5
53,อุตรดิตถ์,Uttaradit,5
54,แพร่,Phrae,5
55,น่าน,Nan,5
56,พะเยา,Phayao,5
57,เชียงราย,Chiang Rai,5
58,แม่ฮ่องสอน,Mae Hong Son,5
60,นครสวรรค์,Nakhon Sawan,1
61,อุทัยธานี,Uthai Thani,1
62,กำแพงเพชร,Kamphaeng Phet,1
63,ตาก,Tak,6
64,สุโขทัย,Sukhothai,1
65,พิษณุโลก,Phitsanulok,1
66,พิจิตร,Phichit,1
67,เพชรบูรณ์,Phetchabun,1
70,ราชบุรี,Ratchaburi,6
71,กาญจนบุรี,Kanchanaburi,6
72,สุพรรณบุรี,Suphan Buri,1
73,นครปฐม,Nakhon Pathom,1
74,สมุทรสาคร,Samut Sakhon,1
75,สมุทรสงคราม,Samut Songkhram,1
76,เพชรบุรี,Phetchaburi,6
77,ประจวบคีรีขันธ์,Prachuap Khiri Khan,6
80,นครศรีธรรมราช,Nakhon Si Thammarat,4
81,กระบี่,Krabi,4
82,พังงา,Phang-nga,4
83,ภูเก็ต,Phuket,4
84,สุราษฎร์ธานี,Surat Thani,4
85,ระนอง,Ranong,4
86,ชุมพร,Chumphon,4
90,สงขลา,Songkhla,4
91,สตูล,Satun,4
92,ตรัง,Trang,4
93,พัทลุง,Phatthalung,4
94,ปัตตานี,Pattani,4
95,ยะลา,Yala,4
96,นราธิวาส,Narathiwat,4
